;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Thiamin;Riboflavin;Niacin;Folate;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;mg;mg;NE;DFE;;;;
Breads, Cereals and Other Grain Products;;;;;;;;;;;;;;;;;;;;;;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Dietary Fibre;Total Fat;Saturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Vitamin A;Vitamin C;Alcohol;Caffeine;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;RAE;mg;g;mg;;;;
Beverages;;;;;;;;;;;;;;;;;;;;;;;;;
Chai, latte;250mL;242;149;624;5;26;26;0;3;2,00;13;186;0,01;67;263;19;150;88;tr;0;13;;;;
Coffee, brewed;250mL;250;3;10;tr;0;0;0;tr;tr;0;5;tr;5;123;8;8;0;0;0;100;;;;
Coffee, brewed, decaffeinated;250mL;251;3;10;tr;0;0;0;0;0;0;5;0,01;5;135;13;3;0;0;0;3;;;;
Coffee, instant, regular, powder + water;250mL;253;5;20;tr;1;0;0;tr;tr;0;10;0,01;5;76;8;8;0;0;0;66;;;;
Coffee, latte;250mL;256;101;420;5;7;9;0;6;3,05;16;188;0,02;79;340;89;156;46;tr;0;193;;;;
Coffee, substitute, powder + water;250mL;254;13;53;tr;3;tr;0,08;tr;tr;0;8;0,02;8;79;10;18;0;0;0;0;;;;
Iced cappuccino - original - with cream (Tim HortonsTM);250mL;N/A;211;886;2;28;28;0;9;5,00;38;80;0,03;42;N/A;N/A;N/A;N/A;0;N/A;N/A;;;;
Iced cappuccino - with 2% milk (Tim HortonsTM);250mL;N/A;127;533;3;27;27;0;1;1,00;4;70;0,03;30;N/A;N/A;N/A;N/A;0;N/A;N/A;;;;
Iced coffee, Frappuccino (StarbucksTM);250mL;N/A;127;533;3;26;22;0;2;1,00;7;110;0;120;N/A;N/A;N/A;N/A;0;N/A;60;;;;
Iced tea, lemon flavor, ready-to-drink;250mL;254;91;383;0;23;23;0;0;0;0;N/A;N/A;53;N/A;N/A;N/A;0;N/A;0;N/A;;;;
Iced tea, lemon flavour, powder + water;250mL;274;93;389;tr;23;23;0;tr;tr;0;5;0,01;8;52;5;3;0;tr;0;30;;;;
Tea, brewed;250mL;250;3;10;0;1;0;0;tr;tr;0;0;0,01;8;93;8;3;0;0;0;50;;;;
Tea, brewed, herbal;250mL;250;3;10;0;1;0;0;tr;tr;0;5;0,02;3;23;3;0;0;0;0;0;;;;
Carbonated Drinks;;;;;;;;;;;;;;;;;;;;;;;;;
Club soda;250mL;250;0;0;0;0;0;0;0;0;0;13;tr;53;5;3;0;0;0;0;0;;;;
Cola;250mL;262;110;461;tr;28;24;0;0;0;0;8;0,01;10;3;3;34;0;0;0;26;;;;
Cola, aspartame sweetened;250mL;250;3;10;tr;tr;0;0;0;0;0;8;0,01;13;15;3;28;0;0;0;35;;;;
Cola, decaffeinated;250mL;262;107;448;0;28;28;0;0;0;0;5;0,01;10;8;0;29;0;0;0;0;;;;
Ginger ale;250mL;258;88;366;0;23;22;0;0;0;0;8;0,05;18;3;3;0;0;0;0;0;;;;
Lemon-lime soda;250mL;260;104;433;0;27;23;0;0;0;0;5;0,02;29;3;3;0;0;0;0;0;;;;
Non cola soda, aspartame sweetened;250mL;250;0;0;0;tr;0;0;0;0;0;10;0,01;40;5;3;0;0;0;0;0;;;;
Orange soda;250mL;262;126;527;0;32;N/A;0;0;0;0;13;0,02;31;5;3;3;0;0;0;0;;;;
Tonic water;250mL;258;124;520;0;32;32;0;0;0;0;4;tr;15;0;0;0;0;0;0;0;;;;
Fruit Flavoured Drinks;;;;;;;;;;;;;;;;;;;;;;;;;
Citrus juice drink, frozen, diluted (Five AliveTM);250mL;262;131;548;tr;32;30;0,03;tr;0;0;13;1,08;5;128;10;10;N/A;38;0;0;;;;
Fruit flavour drink, low Calorie, powder + water (Crystal LightTM);250mL;254;3;14;0;1;0;0;tr;0;0;6;tr;6;0;3;2;tr;0;0;0;;;;
Fruit punch flavour drink, powder (Kool-AidTM) + water;250mL;276;102;427;0;26;N/A;0;tr;tr;0;44;0,01;39;3;3;55;0;0;0;0;;;;
Fruit punch flavour drink, vitamin C added, powder + water;250mL;277;102;429;0;26;N/A;0;tr;tr;0;44;0,01;39;3;3;55;0;100;0;0;;;;
Fruit punch juice drink, ready-to-drink (Sunny DTP');250mL;262;123;516;0;33;31;0;0;0;0;3;0,01;26;31;N/A;3;0;3;0;0;;;;
Lemonade, pink or white, frozen, diluted;250mL;262;105;440;tr;27;13;0,02;tr;tr;0;8;0,04;6;39;5;5;0;10;0;0;;;;
Mixed vegetable and fruit juice drink, ready-to-drink (V8 SplashTM);250mL;257;113;472;tr;29;5;0,03;tr;0;0;10;0,02;41;62;5;8;N/A;81;0;0;;;;
Orange drink, vitamin C added (Hi-CT), ready-to-drink;250mL;262;134;558;0;34;29;0;tr;tr;0;16;0,07;42;47;5;3;N/A;94;0;0;;;;
Orange drink, vitamin C added (TangTM , QuenchTM, Rise'n ShineTM), powder + water;250mL;286;135;564;0;34;34;0;0;0;0;140;0,01;11;69;3;63;N/A;88;0;0;;;;
Other Beverages;;;;;;;;;;;;;;;;;;;;;;;;;
Sports drink, fruit flavour, low Calorie, ready-to-drink (GatoradeTM, PoweradeTM);250mL;261;29;120;0;8;0;0;0;0;0;0;0,01;91;26;3;23;0;16;0;0;;;;
Sports drink, fruit flavour, ready-to-drink (GatoradeTM , PoweradeTM);250mL;258;67;281;0;16;14;0;tr;0;0;3;0,05;101;36;3;23;0;1;N/A;N/A;;;;
Water, mineral (PerrierTM);250mL;250;0;0;0;0;0;0;0;0;0;35;0;3;0;0;0;0;0;0;0;;;;
Water, municipal;250mL;250;0;0;0;0;0;0;0;0;0;5;0;5;0;3;0;0;0;0;0;;;;
Alcoholic;;;;;;;;;;;;;;;;;;;;;;;;;
Beer, de-alcoholized, (Labbat .5TM);1 can;350;210;878;1;47;28;0;tr;0,01;0;24;0,02;45;28;24;56;0;2;1;0;;;;
Beer, high alcohol (7%alcohol by volume);1 bottle;342;183;766;1;10;N/A;0,07;0;0;0;17;0,01;17;86;21;41;0;0;20;0;;;;
Beer, light (4% alcohol by volume);1 bottle;340;99;412;1;5;tr;0;0;0;0;14;0,01;14;71;17;41;0;0;11;0;;;;
Beer, regular (5% alcohol by volume);1 bottle;342;140;586;1;10;0;0;0;0;0;14;0,01;14;92;21;48;0;0;14;0;;;;
Cocktail, daiquiri;125mL;128;237;993;tr;9;7;0,01;tr;tr;0;4;0,01;6;27;3;6;0;2;29;0;;;;
Cocktail, margarita;125mL;131;246;1031;tr;6;4;0,01;tr;tr;0;4;0,01;527;23;2;7;tr;2;33;0;;;;
Liqueur, coffee and cream;45mL;53;172;719;1;11;10;0;8;5,01;31;8;0,01;48;17;1;26;91;tr;7;4;;;;
Sangria;125mL;123;87;365;tr;12;10;0,01;tr;tr;0;9;0,02;13;80;8;10;1;6;6;0;;;;
Spirits (gin, rum, vodka, whisky);50mL;47;109;456;0;0;0;0;0;0;0;0;tr;1;1;0;2;0;0;16;0;;;;
Vodka cooler;1 bottle;390;220;799;tr;33;12;0,03;1;tr;0;20;0,09;12;211;23;19;tr;11;13;0;;;;
Wine, dessert, sweet;125mL;127;203;848;tr;17;10;0;0;0;0;10;0,03;11;117;11;11;0;0;19;0;;;;
Wine, table, red;125mL;125;90;375;tr;2;1;0;0;0;0;10;0,05;6;140;16;17;0;0;12;0;;;;
Wine, table, white;125mL;125;85;354;tr;1;1;0;0;0;0;11;0,04;6;100;12;17;0;0;12;0;;;;
;Measure;Weight;Energy;Energy;Protein;Carbohydrate;Total Sugar;Total Fat;Saturated Fat;Monounsaturated Fat;Polyunsaturated Fat;Cholestrol;Calcium;Iron;Sodium;Potassium;Magnesium;Phosphorus;Vitamin A;Lycopene;Folate;;;;
Food Name;;g;kcal;kJ;g;g;g;g;g;g;g;mg;mg;mg;mg;mg;mg;mg;RAE;mcg;DFE;;;;
Miscellaneous;;;;;;;;;;;;;;;;;;;;;;;;;
Condiments;;;;;;;;;;;;;;;;;;;;;;;;;
Bacon bits, simulated meat;15mL;7;34;141;2;2;0;2;0,03;0,04;1,00;0;7;0,01;126;10;7;15;0;0;9;;;;
Ketchup;15mL;15;15;64;tr;4;3;tr;tr;tr;tr;0;3;0,01;169;57;3;5;7;2586;2;;;;
Mustard;15mL;16;11;44;1;1;tr;1;tr;0,04;0,02;0;9;0,02;180;22;8;17;1;0;1;;;;
Olives, pickled, canned or bottled;4;16;23;97;tr;1;tr;2;0,03;1,08;0,02;0;8;0,01;249;7;2;1;3;0;t;;;;
Olives, ripe, canned, jumbo;2;16;13;54;tr;1;0;1;00.01;0,08;0,01;0;15;0,05;144;1;1;tr;3;0;0;;;;
Pickle relish, sweet;15mL;15;20;83;tr;5;2;tr;tr;tr;tr;0;tr;0,01;123;4;1;2;1;0;t;;;;
Pickles, cucumber, dill;1 medium pickle;65;12;49;tr;3;1;tr;tr;tr;0,01;0;6;0,03;833;75;7;14;6;0;1;;;;
Pickles, cucumber, sweet, slices;4;28;33;137;tr;9;5;tr;tr;tr;tr;0;1;0,02;263;9;1;3;3;0;tr;;;;
Salsa;15mL;17;5;19;tr;1;1;tr;tr;tr;tr;0;5;0,01;100;50;3;5;3;1758;1;;;;
Dips;;;;;;;;;;;;;;;;;;;;;;;;;
Cream cheese dip;30mL;30;108;451;2;1;tr;11;5,08;3,00;1,06;28;23;0,03;176;39;2;28;92;0;4;;;;
Onion dip;30mL;31;50;211;1;3;tr;4;2,05;1,02;0,02;11;34;0,01;206;60;4;31;33;0;3;;;;
Spinach dip;30mL;30;74;309;1;2;tr;7;1,06;1,09;3,03;6;26;0,03;84;57;8;17;75;tr;15;;;;
Gravies and Sauces;;;;;;;;;;;;;;;;;;;;;;;;;
Gravy, beef, canned;60mL;59;31;131;2;3;tr;1;0,07;0,06;tr;2;4;0,04;331;48;1;18;1;0;1;;;;
Gravy, beef, dehydrated, prepared with water;60mL;65;20;85;1;3;0;1;0,02;0,02;tr;tr;9;0,01;271;15;2;11;tr;0;2;;;;
Gravy, chicken, canned;60mL;60;48;199;1;3;tr;3;0,09;1,05;0,09;1;12;0,30;;;1;18;1;0;1;;;;
Gravy, chicken, dehydrated, prepared with water;60mL;66;22;93;1;4;0;1;0,02;0,03;0,01;1;10;0,01;244;24;3;15;2;0;8;;;;
Gravy, turkey, canned;60mL;61;31;130;2;3;tr;1;0,04;0,06;0,03;1;2;0,04;353;67;1;18;0;0;1;;;;
Gravy, unspecified, dehydrated, prepared with water;60mL;66;22;91;1;4;0;1;0,02;0,02;0,01;tr;11;0,01;362;16;3;13;0;0;3;;;;
Sauce, barbecue;15mL;16;12;50;tr;2;4;tr;tr;0,01;0,01;0;3;0,01;129;28;3;3;tr;68;1;;;;
Sauce, cheese, dehydrated, prepared with 2% milk;60mL;71;81;337;5;7;6;4;2,01;1,03;0,04;11;163;0,01;445;158;12;127;45;0;4;;;;
Sauce, cranberry, canned, sweetened;60mL;70;106;443;tr;27;27;tr;tr;tr;tr;0;3;0,02;20;18;2;4;1;0;1;;;;
Sauce, nacho cheese, ready-to-serve;60mL;64;121;505;5;3;0;10;4,03;3,01;2,01;20;120;0,02;499;20;6;107;66;N/A;3;;;;
Sauce, soy;15mL;18;7;30;tr;1;tr;tr;tr;tr;tr;0;1;0,03;1038;28;1;17;0;0;2;;;;
Sauce, steak (HPTM Al TM);15mL;15;9;39;tr;2;N/A;tr;tr;tr;tr;0;4;0,02;218;60;2;6;7;N/A;1;;;;
Sauce, sweet and sour;15mL;17;20;85;tr;4;3;tr;0,01;0,01;0,02;0;3;0,01;59;11;1;2;1;N/A;t;;;;
Sauce, teriyaki;15mL;18;15;64;1;3;2;0;0;0;0;0;5;0,03;700;41;11;28;0;0;4;;;;
Sauce, white, medium, homemade with 2% milk;60mL;61;89;374;2;6;3;6;1,07;2,07;1,07;4;72;0,02;215;95;9;60;55;0;6;;;;
